Customer ID,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,segment_label,is_churned,churn_probability,churn_risk
12346,326,12,77556.46,2,5,5,12,255,At Risk,1,0.99921155,High Risk
12347,2,8,4921.53,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12348,75,5,2019.4,3,4,4,11,344,Loyal Customers,0,0.00041936015,Low Risk
12349,19,4,4428.69,5,3,5,13,535,Loyal Customers,0,0.0001757982,Low Risk
12350,310,1,334.4,2,1,2,5,212,Lost,1,0.9996289,High Risk
12351,375,1,300.93,2,1,2,5,212,Lost,1,0.9996289,High Risk
12352,36,10,2849.84,4,5,4,13,454,Champions,0,0.0002199083,Low Risk
12353,204,2,406.76,2,2,2,6,222,Lost,1,0.9996289,High Risk
12354,232,1,1079.4,2,1,3,6,213,Cant Lose Them,1,0.99958855,High Risk
12355,214,2,947.61,2,2,3,7,223,Cant Lose Them,1,0.99958855,High Risk
12356,23,6,6371.73,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12357,33,3,18287.66,4,3,5,12,435,Loyal Customers,0,0.0001757982,Low Risk
12358,2,5,3887.07,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12359,58,10,8873.39,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12360,52,8,4252.89,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12361,287,4,511.25,2,3,2,7,232,Others,1,0.9996289,High Risk
12362,3,11,5356.23,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12363,110,2,552.0,3,2,2,7,322,Others,1,0.9996289,High Risk
12364,8,4,1313.1,5,3,4,12,534,Loyal Customers,0,0.0002505981,Low Risk
12365,291,2,641.38,2,2,3,7,223,Cant Lose Them,1,0.9996166,High Risk
12366,634,1,500.24,1,1,2,4,112,Lost,1,0.9996289,High Risk
12367,4,1,168.9,5,1,1,7,511,New Customers,0,0.0004902948,Low Risk
12368,628,1,917.7,1,1,3,5,113,Cant Lose Them,1,0.99958855,High Risk
12369,413,3,1791.15,1,3,4,8,134,At Risk,1,0.9996271,High Risk
12370,51,7,4316.56,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12371,45,5,4067.38,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12372,72,3,1298.04,3,3,4,10,334,Loyal Customers,0,0.00028871957,Low Risk
12373,311,3,1127.65,2,3,3,8,233,At Risk,1,0.99958855,High Risk
12374,25,4,2989.2200000000003,4,3,5,12,435,Loyal Customers,0,0.0001757982,Low Risk
12375,11,2,457.5,5,2,2,9,522,New Customers,0,0.0004094127,Low Risk
12376,390,2,503.15,2,2,2,6,222,Lost,1,0.9996289,High Risk
12377,315,4,3426.32,2,3,5,10,235,At Risk,1,0.99914396,High Risk
12378,130,2,5416.32,3,2,5,10,325,Others,1,0.99914396,High Risk
12379,82,4,1620.22,3,3,4,10,334,Loyal Customers,0,0.00045565024,Low Risk
12380,22,11,9676.3,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12381,5,5,1845.31,5,4,4,13,544,Champions,0,0.00042543272,Low Risk
12383,185,5,1850.56,3,4,4,11,344,Loyal Customers,1,0.9996159,High Risk
12384,29,2,585.27,4,2,2,8,422,New Customers,0,0.0004902948,Low Risk
12385,379,1,1938.4,2,1,4,7,214,Cant Lose Them,1,0.99940777,High Risk
12386,338,2,401.9,2,2,2,6,222,Lost,1,0.9996289,High Risk
12387,415,1,143.94,1,1,1,3,111,Lost,1,0.9996289,High Risk
12388,16,8,3901.11,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12389,403,3,1433.33,2,3,4,9,234,At Risk,1,0.9995535,High Risk
12390,80,1,549.84,3,1,2,6,312,Others,0,0.0004902948,Low Risk
12391,22,6,2724.84,4,4,4,12,444,Champions,0,0.0002199083,Low Risk
12392,591,1,234.75000000000003,1,1,1,3,111,Lost,1,0.9996289,High Risk
12393,72,6,2399.4500000000003,3,4,4,11,344,Loyal Customers,0,0.00030059286,Low Risk
12394,64,2,1272.48,3,2,4,9,324,Others,0,0.00028871957,Low Risk
12395,19,15,4721.17,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12396,674,1,931.43,1,1,3,5,113,Cant Lose Them,1,0.99958855,High Risk
12397,36,2,2409.9,4,2,4,10,424,New Customers,0,0.00020254405,Low Risk
