Date,total_revenue,total_quantity,transaction_count,unique_customers,avg_order_value,revenue_ma_7d,revenue_std_7d,qty_ma_7d,revenue_ma_14d,revenue_std_14d,qty_ma_14d,revenue_ma_30d,revenue_std_30d,qty_ma_30d,revenue_lag_1d,revenue_lag_7d,revenue_lag_14d,day_of_week,is_weekend,month,week_of_year,revenue_diff_1,revenue_diff_7
2009-12-01,43894.87,24335.0,98.0,91.0,447.9068367346939,43894.87,0.0,24335.0,43894.87,0.0,24335.0,43894.87,0.0,24335.0,0.0,0.0,0.0,1,0,12,49,,
2009-12-02,52762.06,29679.0,110.0,94.0,479.6550909090909,48328.465,6270.050179069542,27007.0,48328.465,6270.050179069542,27007.0,48328.465,6270.050179069542,27007.0,43894.87,0.0,0.0,2,0,12,49,8867.189999999995,
2009-12-03,67413.62,48009.0,122.0,106.0,552.5706557377049,54690.18333333333,11877.337457613694,34007.666666666664,54690.18333333333,11877.337457613694,34007.666666666664,54690.18333333333,11877.337457613694,34007.666666666664,52762.06,0.0,0.0,3,0,12,49,14651.559999999998,
2009-12-04,33913.81,19954.0,80.0,76.0,423.922625,49496.09,14211.328307945038,30494.25,49496.09,14211.328307945038,30494.25,49496.09,14211.328307945038,30494.25,67413.62,0.0,0.0,4,0,12,49,-33499.81,
2009-12-05,9803.05,5119.0,30.0,26.0,326.7683333333333,41557.482,21600.436895939627,25419.2,41557.482,21600.436895939627,25419.2,41557.482,21600.436895939627,25419.2,33913.81,0.0,0.0,5,1,12,49,-24110.76,
2009-12-06,24390.1,11502.0,72.0,63.0,338.75138888888887,38696.25166666666,20551.95692382349,23099.666666666668,38696.25166666666,20551.95692382349,23099.666666666668,38696.25166666666,20551.95692382349,23099.666666666668,9803.05,0.0,0.0,6,1,12,49,14587.05,
2009-12-07,33002.49,15557.0,94.0,77.0,351.09031914893615,37882.857142857145,18884.30704028587,22022.14285714286,37882.857142857145,18884.30704028587,22022.14285714286,37882.857142857145,18884.30704028587,22022.14285714286,24390.1,0.0,0.0,0,0,12,50,8612.39,
2009-12-08,44763.34,22241.0,102.0,91.0,438.8562745098039,38006.92428571428,18933.177720218067,21723.0,38742.9175,17651.894791675844,22049.5,38742.9175,17651.894791675844,22049.5,33002.49,43894.87,0.0,1,0,12,50,11760.849999999999,868.4699999999939
2009-12-09,30763.17,15881.0,77.0,74.0,399.5216883116883,34864.22571428571,17871.827818949067,19751.85714285714,37856.27888888889,16724.708316133976,21364.11111111111,37856.27888888889,16724.708316133976,21364.11111111111,44763.34,52762.06,0.0,2,0,12,50,-14000.169999999998,-21998.89
2009-12-10,38598.21,22534.0,87.0,82.0,443.65758620689655,30747.73857142857,11197.281537936527,16112.57142857143,37930.472,15769.951601681383,21481.1,37930.472,15769.951601681383,21481.1,30763.17,67413.62,0.0,3,0,12,50,7835.040000000001,-28815.409999999996
2009-12-11,39204.17,21212.0,65.0,58.0,603.1410769230769,31503.504285714287,11617.254656687546,16292.285714285714,38046.262727272726,14965.617881837748,21456.636363636364,38046.262727272726,14965.617881837748,21456.636363636364,38598.21,33913.81,0.0,4,0,12,50,605.9599999999991,5290.360000000001
2009-12-12,0.0,0.0,0.0,0.0,0.0,31503.504285714287,11617.254656687546,16292.285714285714,38046.262727272726,14965.617881837748,21456.636363636364,38046.262727272726,14965.617881837748,21456.636363636364,38598.21,33913.81,0.0,5,1,12,50,-39204.17,-9803.05
2009-12-13,21577.35,12205.0,69.0,63.0,312.71521739130435,33185.54714285715,8342.437493867748,17304.571428571428,36673.85333333333,15040.31002380985,20685.666666666668,36673.85333333333,15040.31002380985,20685.666666666668,39204.17,9803.05,0.0,6,1,12,50,21577.35,-2812.75
2009-12-14,51245.16,40815.0,80.0,69.0,640.5645000000001,37021.98428571429,9689.681423073816,21492.14285714286,37794.723076923074,14956.354900571743,22234.07692307692,37794.723076923074,14956.354900571743,22234.07692307692,21577.35,24390.1,0.0,0,0,12,51,29667.810000000005,18242.670000000006
2009-12-15,46836.63,26401.0,94.0,89.0,498.2620212765957,38998.29,10133.8541757632,23041.285714285717,38440.57357142858,14571.381286328457,22531.714285714286,38440.57357142858,14571.381286328457,22531.714285714286,51245.16,33002.49,0.0,1,0,12,51,-4408.530000000006,2073.290000000001
2009-12-16,36927.3,22044.0,90.0,81.0,410.30333333333334,37878.85571428571,9818.78530310794,23013.14285714286,37942.89,14489.51872094446,22368.071428571428,38339.68866666666,14046.76961880299,22499.2,46836.63,44763.34,43894.87,2,0,12,51,-9909.329999999994,6164.130000000005
2009-12-17,29758.87,15031.0,84.0,77.0,354.2722619047619,37735.38428571429,9946.593767308575,22891.714285714286,36299.805,13974.90655912108,21321.785714285717,37803.3875,13738.978273657518,22032.4375,36927.3,30763.17,52762.06,3,0,12,51,-7168.430000000004,-8839.34
2009-12-18,31562.72,15225.0,61.0,55.0,517.4216393442623,36730.31428571428,10197.177073973064,21847.571428571428,33739.02642857143,10746.87234403473,18980.071428571428,37436.2894117647,13388.53953433097,21632.0,29758.87,38598.21,67413.62,4,0,12,51,1803.8500000000022,-7641.449999999997
2009-12-19,0.0,0.0,0.0,0.0,0.0,36730.31428571428,10197.177073973064,21847.571428571428,33739.02642857143,10746.87234403473,18980.071428571428,37436.2894117647,13388.53953433097,21632.0,29758.87,38598.21,67413.62,5,1,12,51,-31562.72,0.0
2009-12-20,11355.19,6236.0,32.0,31.0,354.8496875,32751.88857142857,13849.647371801477,19708.14285714286,32127.696428571428,12297.888030459417,18000.214285714286,35987.33944444444,14370.06977792935,20776.666666666668,31562.72,39204.17,33913.81,6,1,12,51,11355.19,-10222.159999999998
2009-12-21,15549.64,8446.0,31.0,30.0,501.6012903225806,31890.78714285714,14814.030330941578,19171.14285714286,32538.167142857143,11569.781461975996,18237.85714285714,34911.67105263158,14731.290890616288,20127.68421052632,11355.19,21577.35,9803.05,0,0,12,52,4194.449999999999,-35695.520000000004
2009-12-22,10696.59,11913.0,21.0,16.0,509.3614285714286,26098.13428571428,13883.151790628392,15042.285714285714,31560.059285714284,12822.599413093008,18267.214285714286,33700.917,15326.702543595742,19716.95,15549.64,51245.16,24390.1,1,0,12,52,-4853.049999999999,-36140.03999999999
2009-12-23,9485.67,4321.0,13.0,12.0,729.6669230769231,20762.282857142854,11568.931193271785,11888.0,29880.286428571428,14096.215706739058,17464.64285714286,32547.81,15845.66789817646,18983.809523809523,10696.59,46836.63,33002.49,2,0,12,52,-1210.92,-27441.630000000005
2009-12-24,0.0,0.0,0.0,0.0,0.0,20762.282857142854,11568.931193271785,11888.0,29880.286428571428,14096.215706739058,17464.64285714286,32547.81,15845.66789817646,18983.809523809523,10696.59,46836.63,33002.49,3,0,12,52,-9485.67,-29758.87
2009-12-25,0.0,0.0,0.0,0.0,0.0,20762.282857142854,11568.931193271785,11888.0,29880.286428571428,14096.215706739058,17464.64285714286,32547.81,15845.66789817646,18983.809523809523,10696.59,46836.63,33002.49,4,0,12,52,0.0,-31562.72
