Date,demand,stock_level,stockout,ordered
2009-12-01,24335,15303,0,39638
2009-12-02,29679,0,14376,39638
2009-12-03,48009,0,48009,39638
2009-12-04,19954,0,19954,39638
2009-12-05,5119,0,5119,39638
2009-12-06,11502,0,11502,39638
2009-12-07,15557,0,15557,39638
2009-12-08,22241,17397,0,39638
2009-12-09,15881,41154,0,39638
2009-12-10,22534,58258,0,39638
2009-12-11,21212,76684,0,39638
2009-12-12,0,116322,0,39638
2009-12-13,12205,143755,0,39638
2009-12-14,40815,142578,0,39638
2009-12-15,26401,155815,0,0
2009-12-16,22044,173409,0,0
2009-12-17,15031,198016,0,0
2009-12-18,15225,222429,0,0
2009-12-19,0,262067,0,0
2009-12-20,6236,295469,0,0
2009-12-21,8446,326661,0,0
2009-12-22,11913,314748,0,0
2009-12-23,4321,310427,0,0
2009-12-24,0,310427,0,0
2009-12-25,0,310427,0,0
2009-12-26,0,310427,0,0
2009-12-27,0,310427,0,0
2009-12-28,0,310427,0,0
2009-12-29,0,310427,0,0
2009-12-30,0,310427,0,0
2009-12-31,0,310427,0,0
2010-01-01,0,310427,0,0
2010-01-02,0,310427,0,0
2010-01-03,0,310427,0,0
2010-01-04,10593,299834,0,0
2010-01-05,11288,288546,0,0
2010-01-06,7458,281088,0,0
2010-01-07,40592,240496,0,0
2010-01-08,12694,227802,0,0
2010-01-09,0,227802,0,0
2010-01-10,13291,214511,0,0
2010-01-11,9414,205097,0,0
2010-01-12,20782,184315,0,0
2010-01-13,6541,177774,0,0
2010-01-14,11788,165986,0,0
2010-01-15,8414,157572,0,0
2010-01-16,0,157572,0,0
2010-01-17,9910,147662,0,39638
2010-01-18,8319,139343,0,39638
2010-01-19,12939,126404,0,39638
2010-01-20,8208,118196,0,39638
2010-01-21,72900,45296,0,39638
2010-01-22,16974,28322,0,39638
2010-01-23,0,28322,0,39638
2010-01-24,8700,59260,0,39638
2010-01-25,9104,89794,0,39638
2010-01-26,22305,107127,0,39638
2010-01-27,16985,129780,0,39638
2010-01-28,10855,158563,0,0
2010-01-29,9471,188730,0,0
2010-01-30,0,228368,0,0
2010-01-31,10557,257449,0,0
2010-02-01,8581,288506,0,0
2010-02-02,10543,317601,0,0
2010-02-03,9369,347870,0,0
2010-02-04,12794,335076,0,0
2010-02-05,9889,325187,0,0
2010-02-06,0,325187,0,0
2010-02-07,11179,314008,0,0
2010-02-08,7043,306965,0,0
2010-02-09,10629,296336,0,0
2010-02-10,3066,293270,0,0
2010-02-11,9027,284243,0,0
2010-02-12,7324,276919,0,0
2010-02-13,0,276919,0,0
2010-02-14,10892,266027,0,0
2010-02-15,96358,169669,0,0
2010-02-16,15744,153925,0,39638
2010-02-17,24986,128939,0,39638
2010-02-18,19851,109088,0,39638
2010-02-19,10862,98226,0,39638
2010-02-20,0,98226,0,39638
2010-02-21,5555,92671,0,39638
2010-02-22,13423,79248,0,39638
2010-02-23,11574,107312,0,39638
2010-02-24,21941,125009,0,39638
2010-02-25,26014,138633,0,39638
2010-02-26,6798,171473,0,0
2010-02-27,0,211111,0,0
2010-02-28,8419,242330,0,0
2010-03-01,21188,260780,0,0
2010-03-02,11019,289399,0,0
2010-03-03,20031,309006,0,0
2010-03-04,18044,330600,0,0
2010-03-05,17947,312653,0,0
2010-03-06,0,312653,0,0
2010-03-07,10876,301777,0,0
2010-03-08,13876,287901,0,0
2010-03-09,11984,275917,0,0
2010-03-10,17302,258615,0,0
2010-03-11,13706,244909,0,0
2010-03-12,10586,234323,0,0
2010-03-13,0,234323,0,0
2010-03-14,4927,229396,0,0
2010-03-15,13990,215406,0,0
2010-03-16,12256,203150,0,0
2010-03-17,78565,124585,0,39638
2010-03-18,20574,104011,0,39638
2010-03-19,12780,91231,0,39638
2010-03-20,0,91231,0,39638
2010-03-21,12262,78969,0,39638
2010-03-22,12051,66918,0,39638
2010-03-23,54157,12761,0,39638
2010-03-24,13663,38736,0,39638
2010-03-25,16603,61771,0,39638
2010-03-26,20215,81194,0,39638
2010-03-27,0,120832,0,39638
2010-03-28,14517,145953,0,39638
2010-03-29,18251,167340,0,0
2010-03-30,18224,188754,0,0
2010-03-31,12506,215886,0,0
2010-04-01,16895,238629,0,0
2010-04-02,0,278267,0,0
2010-04-03,0,317905,0,0
2010-04-04,0,357543,0,0
2010-04-05,0,357543,0,0
2010-04-06,12715,344828,0,0
2010-04-07,22970,321858,0,0
2010-04-08,25830,296028,0,0
2010-04-09,8676,287352,0,0
2010-04-10,0,287352,0,0
2010-04-11,11585,275767,0,0
2010-04-12,12188,263579,0,0
2010-04-13,14373,249206,0,0
2010-04-14,16322,232884,0,0
2010-04-15,10700,222184,0,0
2010-04-16,14781,207403,0,0
2010-04-17,0,207403,0,0
2010-04-18,12961,194442,0,0
2010-04-19,14564,179878,0,0
2010-04-20,12416,167462,0,0
2010-04-21,11566,155896,0,0
2010-04-22,21229,134667,0,39638
2010-04-23,9829,124838,0,39638
2010-04-24,0,124838,0,39638
2010-04-25,8380,116458,0,39638
2010-04-26,17979,98479,0,39638
2010-04-27,22759,75720,0,39638
2010-04-28,19058,56662,0,39638
2010-04-29,16370,79930,0,39638
2010-04-30,16441,103127,0,39638
2010-05-01,0,142765,0,39638
2010-05-02,6296,176107,0,0
2010-05-03,0,215745,0,0
2010-05-04,10501,244882,0,0
2010-05-05,14814,269706,0,0
2010-05-06,30422,278922,0,0
2010-05-07,22834,295726,0,0
2010-05-08,0,335364,0,0
2010-05-09,11825,323539,0,0
2010-05-10,14734,308805,0,0
2010-05-11,17134,291671,0,0
2010-05-12,21360,270311,0,0
2010-05-13,26351,243960,0,0
2010-05-14,13848,230112,0,0
2010-05-15,0,230112,0,0
2010-05-16,11028,219084,0,0
2010-05-17,13483,205601,0,0
2010-05-18,21947,183654,0,0
2010-05-19,9421,174233,0,0
2010-05-20,15470,158763,0,0
2010-05-21,9052,149711,0,39638
2010-05-22,0,149711,0,39638
2010-05-23,13755,135956,0,39638
2010-05-24,32351,103605,0,39638
2010-05-25,14606,88999,0,39638
2010-05-26,18023,70976,0,39638
2010-05-27,17496,53480,0,39638
2010-05-28,12005,81113,0,39638
2010-05-29,0,120751,0,39638
2010-05-30,6204,154185,0,39638
2010-05-31,0,193823,0,0
2010-06-01,7769,225692,0,0
2010-06-02,11289,254041,0,0
2010-06-03,16947,276732,0,0
2010-06-04,6389,309981,0,0
2010-06-05,0,349619,0,0
2010-06-06,14079,375178,0,0
2010-06-07,28736,346442,0,0
2010-06-08,25001,321441,0,0
2010-06-09,24843,296598,0,0
2010-06-10,9677,286921,0,0
2010-06-11,20517,266404,0,0
2010-06-12,0,266404,0,0
2010-06-13,10942,255462,0,0
2010-06-14,15586,239876,0,0
2010-06-15,18633,221243,0,0
2010-06-16,18495,202748,0,0
2010-06-17,12892,189856,0,0
2010-06-18,9315,180541,0,0
2010-06-19,0,180541,0,0
2010-06-20,4487,176054,0,0
2010-06-21,11305,164749,0,0
2010-06-22,6355,158394,0,0
2010-06-23,15489,142905,0,39638
2010-06-24,9410,133495,0,39638
2010-06-25,6502,126993,0,39638
2010-06-26,0,126993,0,39638
