Date,total_revenue,total_quantity,transaction_count,revenue_ma4,revenue_ma8,revenue_lag1,revenue_lag4
2010-01-25,125741.051,128825.0,264.0,107737.61275,139306.80762500002,117887.95999999999,20182.260000000002
2010-02-01,141459.152,78754.0,334.0,139748.62825,123841.701625,125741.051,13415.09
2010-02-08,108708.801,60817.0,263.0,123449.24100000001,109161.37675,141459.152,173906.35
2010-02-15,109361.831,137296.0,248.0,121317.70875000002,101332.811875,108708.801,117887.95999999999
2010-02-22,144524.431,90421.0,283.0,126013.55375,116875.58325,109361.831,125741.051
2010-03-01,149290.832,95934.0,311.0,127971.47375,133860.051,144524.431,141459.152
2010-03-08,154485.66999999998,91793.0,363.0,139415.691,131432.466,149290.832,108708.801
2010-03-15,112716.201,72495.0,263.0,140254.28350000002,130785.996125,154485.66999999998,109361.831
2010-03-22,165417.25,148488.0,327.0,145477.48825,135745.521,112716.201,144524.431
2010-03-29,182309.9,137406.0,379.0,153732.25525,140851.8645,165417.25,149290.832
2010-04-05,86762.24,47625.0,209.0,136801.39775,138108.544375,182309.9,154485.66999999998
2010-04-12,150227.231,93964.0,314.0,146179.15525,143216.719375,86762.24,112716.201
2010-04-19,140187.95,83701.0,309.0,139871.83025,142674.65925,150227.231,165417.25
2010-04-26,144095.61,81399.0,370.0,130318.25774999999,142025.2565,140187.95,182309.9
2010-05-03,141166.721,80924.0,302.0,143919.378,140360.38787500001,144095.61,86762.24
2010-05-10,175599.26,105130.0,385.0,150262.38525,148220.77025,141166.721,150227.231
2010-05-17,152467.87,103204.0,320.0,153332.36525,146602.09775,175599.26,140187.95
2010-05-24,148927.0,101996.0,343.0,154540.21275,142429.23525,152467.87,144095.61
2010-05-31,108497.08,68334.0,289.0,146372.8025,145146.09025,148927.0,141166.721
2010-06-07,135881.16999999998,85209.0,341.0,136443.27999999997,143352.83262499998,108497.08,175599.26
2010-06-14,176033.97,106566.0,393.0,142334.805,147833.585125,135881.16999999998,152467.87
2010-06-21,123786.23,75127.0,308.0,136049.6125,145294.912625,176033.97,148927.0
2010-06-28,136941.41,82415.0,312.0,143160.695,144766.74875,123786.23,108497.08
2010-07-05,150624.36,86828.0,370.0,146846.4925,141644.88624999998,136941.41,135881.16999999998
2010-07-12,121912.72,63851.0,277.0,133316.18,137825.4925,150624.36,176033.97
2010-07-19,157005.97,90091.0,336.0,141621.115,138835.36375,121912.72,123786.23
2010-07-26,125237.29,75998.0,305.0,138695.085,140927.88999999998,157005.97,136941.41
2010-08-02,155446.29,69883.0,325.0,139900.5675,143373.53,125237.29,150624.36
2010-08-09,123078.8,160786.0,276.0,140192.08750000002,136754.13375,155446.29,121912.72
2010-08-16,122776.22,82873.0,279.0,131634.65,136627.8825,123078.8,157005.97
2010-08-23,161171.52000000002,107933.0,326.0,140618.20750000002,139656.64625,122776.22,125237.29
2010-08-30,115624.2,68448.0,269.0,130662.68500000001,135281.62625,161171.52000000002,155446.29
2010-09-06,147337.34,96746.0,316.0,136727.32,138459.70375000002,115624.2,123078.8
2010-09-13,128508.31,84351.0,317.0,138160.3425,134897.49625000003,147337.34,122776.22
2010-09-20,161450.72100000002,96088.0,366.0,138230.14275,139424.175125,128508.31,161171.52000000002
2010-09-27,300195.32,235661.0,459.0,184372.92275,157517.803875,161450.72100000002,115624.2
2010-10-04,222176.97999999998,129740.0,500.0,203082.83275,169905.076375,300195.32,147337.34
2010-10-11,248013.78,159865.0,504.0,232959.20025,185559.771375,222176.97999999998,128508.31
2010-10-18,295242.58,162955.0,543.0,266407.16500000004,202318.65387500002,248013.78,161450.72100000002
2010-10-25,212236.29,116224.0,493.0,244417.4075,214395.165125,295242.58,300195.32
2010-11-01,190506.63,105318.0,430.0,236499.82,219791.326375,212236.29,222176.97999999998
2010-11-08,274171.611,161925.0,520.0,243039.27774999998,237999.239,190506.63,248013.78
