ds,yhat,yhat_lower,yhat_upper,trend,weekly,monthly
2009-12-01,25100.01147333909,8729.326389309621,41314.75031550412,19624.715397487198,0.30930803575674315,-0.03030801130018635
2009-12-02,24668.61546646987,9606.750859494596,40227.6445689245,19631.06867006183,0.20916443196581241,0.04744649844626931
2009-12-03,30015.659817322736,14237.118979532028,46343.55950720309,19637.421942636458,0.4753716890009784,0.053121201002734965
2009-12-04,22812.311645534297,7193.739122840663,38271.26813223011,19643.77521521109,0.1364322456078852,0.02486752470661404
2009-12-05,727.0786694040678,-15168.369155537755,16987.470278423756,19650.128487785718,-0.9938950904091477,0.030896307467652484
2009-12-06,15787.051563908863,718.8951158685179,32042.859685412615,19656.48176036035,-0.29382093006407317,0.09696829673806985
2009-12-07,26241.473003531246,10434.915948264124,41738.33726214514,19662.83503293498,0.15743961814518415,0.17713258162037032
2009-12-08,29614.977149402246,14033.715039401277,45171.45431477935,19669.18830550961,0.30930803575738425,0.19634520673593614
2009-12-09,26228.720821090134,9740.330612479169,41134.867842632215,19675.54157808424,0.20916443196632795,0.12389777203954297
2009-12-10,29173.430815110172,13841.871227404941,44921.82418660051,19681.89485065887,0.47537168899952476,0.006875372905369229
2009-12-11,21021.105175272645,6402.387733545063,36141.349399908286,19688.2481232335,0.13643224560733552,-0.06873414247004916
2009-12-12,-917.1710992764504,-15744.385079953536,15062.52879934708,19694.60139580813,-0.993895090409141,-0.0526745801743754
2009-12-13,14482.88143747524,-1564.9825372890352,29563.152366480357,19700.95466838276,-0.293820930063469,0.028956951706024706
2009-12-14,24841.544785652593,8240.291192431283,39994.637342327434,19707.30794095739,0.15743961814488766,0.10308489692724948
2009-12-15,28137.27676474261,11836.321190719207,43967.120394993704,19713.66121353202,0.30930803575748544,0.11799034681938368
2009-12-16,25508.030955399026,9893.323120794912,41301.51071408006,19720.01448610665,0.20916443196619794,0.08434531537045895
2009-12-17,30136.15865572005,14855.181557579395,45454.14057433715,19726.36775868128,0.4753716889992089,0.05233777198139025
2009-12-18,23457.74352045321,6784.3801710128055,38880.455282832474,19732.72103125591,0.13643224560678585,0.05234164337167775
2009-12-19,1336.0806349648078,-14374.783009712488,18269.429706200306,19739.074303830545,-0.9938950904091346,0.0615821873012887
2009-12-20,14558.65294193969,-2204.581072395529,29015.94293717875,19745.42757640517,-0.2938209300628647,0.031138614656161377
2009-12-21,21775.4810274208,6172.516085899785,38480.549927065076,19751.780848979804,0.1574396181453157,-0.0549830247923411
2009-12-22,22880.989987873792,6983.504028693126,38974.86329939347,19758.13412155443,0.309308035757039,-0.15125384667687725
2009-12-23,20221.16031697434,5753.936074563263,35542.16067772901,19764.487394129064,0.20916443196547863,-0.18605870128101237
2009-12-24,26593.82281389893,11225.458468654117,43294.42228676266,19770.84066670369,0.47537168899898224,-0.13026839965398723
2009-12-25,15861.457352732716,-333.85201396290876,32820.23030512541,19777.193939278324,0.13643224560542075,-0.03191612167196214
2009-12-26,-5982.518036131286,-20812.59513116206,9993.660326449934,19783.547352682162,-0.9938950904087723,0.020698009171930057
