ds,y
2010-01-25,125741.051
2010-02-01,141459.152
2010-02-08,108708.801
2010-02-15,109361.831
2010-02-22,144524.431
2010-03-01,149290.832
2010-03-08,154485.66999999998
2010-03-15,112716.201
2010-03-22,165417.25
2010-03-29,182309.9
2010-04-05,86762.24
2010-04-12,150227.231
2010-04-19,140187.95
2010-04-26,144095.61
2010-05-03,141166.721
2010-05-10,175599.26
2010-05-17,152467.87
2010-05-24,148927.0
2010-05-31,108497.08
2010-06-07,135881.16999999998
2010-06-14,176033.97
2010-06-21,123786.23
2010-06-28,136941.41
2010-07-05,150624.36
2010-07-12,121912.72
2010-07-19,157005.97
2010-07-26,125237.29
2010-08-02,155446.29
2010-08-09,123078.8
2010-08-16,122776.22
2010-08-23,161171.52000000002
2010-08-30,115624.2
2010-09-06,147337.34
2010-09-13,128508.31
2010-09-20,161450.72100000002
2010-09-27,300195.32
2010-10-04,222176.97999999998
2010-10-11,248013.78
2010-10-18,295242.58
2010-10-25,212236.29
2010-11-01,190506.63
2010-11-08,274171.611
2010-11-15,293367.75
2010-11-22,250370.901
2010-11-29,278013.29000000004
2010-12-06,229443.53
2010-12-13,209188.13999999998
2010-12-20,155136.84
2010-12-27,26460.45
2011-01-03,0.0
2011-01-10,129967.63
2011-01-17,155541.07
2011-01-24,176527.05
2011-01-31,106065.56
2011-02-07,110532.35
2011-02-14,87444.36
2011-02-21,135425.14
2011-02-28,112683.07
2011-03-07,122607.98999999999
2011-03-14,117812.41
2011-03-21,127823.59
2011-03-28,133502.29
2011-04-04,152693.91999999998
2011-04-11,110879.42
2011-04-18,158422.491
2011-04-25,72298.03
2011-05-02,73374.06
2011-05-09,152702.28
2011-05-16,192672.86
2011-05-23,191329.77
2011-05-30,115544.08
2011-06-06,118309.4
2011-06-13,197131.75
2011-06-20,178116.77
2011-06-27,99871.43
2011-07-04,133810.44
2011-07-11,120289.98000000001
2011-07-18,120071.53
2011-07-25,164959.36
2011-08-01,164359.611
2011-08-08,155908.86000000002
2011-08-15,141036.59
2011-08-22,180015.71
2011-08-29,117978.70000000001
2011-09-05,149265.88
2011-09-12,158549.91
2011-09-19,227529.72999999998
2011-09-26,291768.80199999997
2011-10-03,226531.99
2011-10-10,277033.97
2011-10-17,207614.8
2011-10-24,246804.81
2011-10-31,230565.82
2011-11-07,254969.88
2011-11-14,293172.82
2011-11-21,262823.77
2011-11-28,254664.78
2011-12-05,257281.91999999998
2011-12-12,349963.88
