Date,total_revenue,total_quantity,transaction_count,unique_customers,avg_order_value,revenue_ma4,revenue_ma8,revenue_lag1,revenue_lag4,week_of_year,month
2010-01-25,125741.051,128825.0,264.0,250.0,408.38650742630387,107737.61275,139306.80762500002,117887.95999999999,20182.260000000002,4,1
2010-02-01,141459.152,78754.0,334.0,296.0,362.7534807512733,139748.62825,123841.701625,125741.051,13415.09,5,2
2010-02-08,108708.801,60817.0,263.0,236.0,370.6283072140439,123449.24100000001,109161.37675,141459.152,173906.35,6,2
2010-02-15,109361.831,137296.0,248.0,224.0,370.2129172868113,121317.70875000002,101332.811875,108708.801,117887.95999999999,7,2
2010-02-22,144524.431,90421.0,283.0,256.0,433.0579439263796,126013.55375,116875.58325,109361.831,125741.051,8,2
2010-03-01,149290.832,95934.0,311.0,269.0,399.95560023271366,127971.47375,133860.051,144524.431,141459.152,9,3
2010-03-08,154485.66999999998,91793.0,363.0,335.0,364.8790230148642,139415.691,131432.466,149290.832,108708.801,10,3
2010-03-15,112716.201,72495.0,263.0,230.0,369.5140414690545,140254.28350000002,130785.996125,154485.66999999998,109361.831,11,3
2010-03-22,165417.25,148488.0,327.0,299.0,441.2795576298522,145477.48825,135745.521,112716.201,144524.431,12,3
2010-03-29,182309.9,137406.0,379.0,329.0,414.8534177420211,153732.25525,140851.8645,165417.25,149290.832,13,3
2010-04-05,86762.24,47625.0,209.0,185.0,178.16506036420216,136801.39775,138108.544375,182309.9,154485.66999999998,14,4
2010-04-12,150227.231,93964.0,314.0,272.0,407.51761324602643,146179.15525,143216.719375,86762.24,112716.201,15,4
2010-04-19,140187.95,83701.0,309.0,263.0,402.16077493438115,139871.83025,142674.65925,150227.231,165417.25,16,4
2010-04-26,144095.61,81399.0,370.0,324.0,327.5549795704524,130318.25774999999,142025.2565,140187.95,182309.9,17,4
2010-05-03,141166.721,80924.0,302.0,271.0,330.7970095363892,143919.378,140360.38787500001,144095.61,86762.24,18,5
2010-05-10,175599.26,105130.0,385.0,333.0,383.9469684842167,150262.38525,148220.77025,141166.721,150227.231,19,5
2010-05-17,152467.87,103204.0,320.0,284.0,403.7539449452196,153332.36525,146602.09775,175599.26,140187.95,20,5
2010-05-24,148927.0,101996.0,343.0,305.0,376.3760226467862,154540.21275,142429.23525,152467.87,144095.61,21,5
2010-05-31,108497.08,68334.0,289.0,266.0,266.18121029000554,146372.8025,145146.09025,148927.0,141166.721,22,5
2010-06-07,135881.16999999998,85209.0,341.0,295.0,327.2725112117183,136443.27999999997,143352.83262499998,108497.08,175599.26,23,6
2010-06-14,176033.97,106566.0,393.0,350.0,380.3867682205238,142334.805,147833.585125,135881.16999999998,152467.87,24,6
2010-06-21,123786.23,75127.0,308.0,277.0,348.88874953455905,136049.6125,145294.912625,176033.97,148927.0,25,6
2010-06-28,136941.41,82415.0,312.0,285.0,354.56188945320565,143160.695,144766.74875,123786.23,108497.08,26,6
2010-07-05,150624.36,86828.0,370.0,324.0,358.05698874445403,146846.4925,141644.88624999998,136941.41,135881.16999999998,27,7
2010-07-12,121912.72,63851.0,277.0,246.0,437.53684410758666,133316.18,137825.4925,150624.36,176033.97,28,7
2010-07-19,157005.97,90091.0,336.0,296.0,381.5049663420845,141621.115,138835.36375,121912.72,123786.23,29,7
2010-07-26,125237.29,75998.0,305.0,282.0,362.22492253399884,138695.085,140927.88999999998,157005.97,136941.41,30,7
2010-08-02,155446.29,69883.0,325.0,291.0,436.7988084818273,139900.5675,143373.53,125237.29,150624.36,31,8
2010-08-09,123078.8,160786.0,276.0,255.0,379.49917994520064,140192.08750000002,136754.13375,155446.29,121912.72,32,8
2010-08-16,122776.22,82873.0,279.0,242.0,390.2754581035015,131634.65,136627.8825,123078.8,157005.97,33,8
2010-08-23,161171.52000000002,107933.0,326.0,279.0,430.4911715887169,140618.20750000002,139656.64625,122776.22,125237.29,34,8
2010-08-30,115624.2,68448.0,269.0,244.0,300.585781639185,130662.68500000001,135281.62625,161171.52000000002,155446.29,35,8
2010-09-06,147337.34,96746.0,316.0,285.0,405.01988034168687,136727.32,138459.70375000002,115624.2,123078.8,36,9
2010-09-13,128508.31,84351.0,317.0,285.0,343.1470392372947,138160.3425,134897.49625000003,147337.34,122776.22,37,9
2010-09-20,161450.72100000002,96088.0,366.0,322.0,374.75448062919907,138230.14275,139424.175125,128508.31,161171.52000000002,38,9
2010-09-27,300195.32,235661.0,459.0,352.0,548.5547884124693,184372.92275,157517.803875,161450.72100000002,115624.2,39,9
2010-10-04,222176.97999999998,129740.0,500.0,439.0,389.81951911821153,203082.83275,169905.076375,300195.32,147337.34,40,10
2010-10-11,248013.78,159865.0,504.0,446.0,432.52410851900197,232959.20025,185559.771375,222176.97999999998,128508.31,41,10
2010-10-18,295242.58,162955.0,543.0,481.0,465.56302495016905,266407.16500000004,202318.65387500002,248013.78,161450.72100000002,42,10
2010-10-25,212236.29,116224.0,493.0,435.0,372.72995192167525,244417.4075,214395.165125,295242.58,300195.32,43,10
2010-11-01,190506.63,105318.0,430.0,391.0,382.9336773932202,236499.82,219791.326375,212236.29,222176.97999999998,44,11
2010-11-08,274171.611,161925.0,520.0,457.0,443.43210948758707,243039.27774999998,237999.239,190506.63,248013.78,45,11
2010-11-15,293367.75,157651.0,642.0,538.0,382.6892371122305,242570.57025,254488.867625,274171.611,295242.58,46,11
2010-11-22,250370.901,142833.0,600.0,542.0,354.7158931031553,252104.223,248260.81524999999,293367.75,212236.29,47,11
